	5dhg_	4djh_	4n6h_	4dkl_	6c1r_	3odu_	5t1a_	4mbs_	5lwe_	5vbl_	4zud_	5ung_	3vw7_	5ndd_	4xnw_	4pxz_	4zjc_	4s0v_	5zbq_	5x93_	4xes_	1u19_	5uen_	4eiy_	5x33_	4phu_	5xsz_	5tgz_	3v2y_	4z35_	4ib4_	5wiv_	6cm4_	3pbl_	4bvn_	2rh1_	3rze_	4iar_	3uon_	5dsg_	5cxv_	4u15_	5zkq_
PKR2	22.59	24.91	23.99	23.33	21.59	23.31	22.56	23.05	21.27	21.61	21.01	20.22	20.37	21.11	21.93	18.11	28.42	28.32	24.66	22.26	22.3	16.59	21.71	22.22	22.73	14.79	23.13	18.91	16.54	18.3	23.19	21.53	23.88	22.71	23.91	22.66	22.91	27.44	23.77	24.15	24.53	24.24	17.71
PKR1	22.59	24.16	22.88	22.22	21.21	23.31	22.56	23.05	20.9	20.88	21.38	19.12	20	21.11	21.19	16.98	28.42	27.97	23.97	22.61	20.91	16.16	23.13	23.3	21.59	15.95	22.39	18.91	16.54	19.2	23.91	21.9	24.25	22.71	24.28	22.3	24	27.8	24.53	24.53	24.15	23.48	16.24
OXER1	24.05	24.52	25.95	23.75	24.9	22.27	21.96	20	23.37	25.95	22.43	23.08	23.22	25.94	24.54	21.05	23.85	24.9	22.48	22.01	22.05	20.18	19.29	20.39	21.32	24.7	21.19	18.11	17.32	16.67	19.76	25.4	23.2	22.83	22.89	20.48	24.3	22.05	20	22.45	24.49	21.72	24.63
HCAR3	25.87	26.82	30	26.64	23.94	24.05	27.2	25.28	25.56	25.84	23.88	28.3	27.34	28.57	31.41	24.19	22.43	21.97	22.99	22.79	21.72	22.73	19.61	19.22	19.54	17.72	27.5	19.61	18.82	16.28	23.14	22.05	24.3	24.31	21.91	22.71	20	20.87	21.63	22.04	21.63	21.31	26.88
HCAR2	25.48	26.82	28.85	26.64	24.32	23.66	26.05	24.53	25.19	25.47	23.13	28.3	26.22	27.82	30.32	24.19	22.43	21.97	22.22	22.06	21.72	23.18	19.61	19.22	19.92	17.72	27.5	20	19.61	17.67	23.53	22.05	23.9	24.31	21.91	23.11	19.6	21.26	21.22	21.63	21.63	20.9	25.81
HCAR1	25.87	25.67	28.46	26.25	23.53	22.18	22.66	20.77	21.84	23.66	23.95	28.85	27.07	25.66	28.68	22.79	24.05	22.05	21.54	17.98	21.51	25	17.65	19.22	18.29	22.05	26.91	18.04	15.29	16.28	19.69	19.76	25.2	24.41	22.4	20.8	21.2	22.05	21.22	21.63	21.22	20.08	22.99
5HT1A	25.29	25.38	24.9	26.05	25.88	21.57	23.83	21.71	19.46	24.9	22.64	23.37	18.63	19.01	20.08	22.57	26.37	27.37	22.83	22.06	22.58	21.33	32.13	35.25	23.72	16.8	22.01	26.09	25.74	25.45	35.25	36.36	40.52	39.42	40.88	37.68	37.45	51.6	34.75	34.75	35.91	35.91	19.47
5HT1B	25.29	27.31	26.44	26.44	24.31	21.96	21.48	20.93	20.23	24.9	21.59	22.69	18.25	21.29	21.24	20.23	25.09	25.74	22.26	22.43	23.1	19.11	27.64	28.99	21.43	16	20.08	27.01	27.78	25.45	31.16	31.99	41.73	38.75	40.59	37.36	37.73	100	35.41	36.19	35.8	36.58	18.32
5HT1D	25.67	25.77	25.67	25.67	26.67	21.57	21.48	20.54	20.23	22.22	20.83	22.31	21.67	23.19	23.94	19.07	26.2	27.57	23.72	20.22	23.1	22.22	26.55	29.35	23.41	16	21.24	27.01	29.26	27.27	31.52	33.46	40.98	39.48	39.11	38.1	37.36	70.92	32.3	34.24	33.46	32.68	19.85
5HT1E	24.23	26.25	26.15	27.31	19.69	21.65	20.78	19.84	20.7	25	21.59	23.85	19.92	21.46	20.93	18.82	24.72	25	22.91	19.93	22.66	17.41	26.45	27.17	21.12	18.15	21.79	25.18	25.83	19.63	31.77	33.33	36.7	37.13	37.5	36.13	35.77	56.79	33.07	33.46	34.63	35.02	19.54
5HT1F	23.46	27.8	25	25.77	22.05	22.05	21.18	20.62	17.97	21.54	20.45	21.92	18.77	19.16	22.09	19.14	25.46	27.21	22.26	20.66	22.38	18.67	25.45	26.81	22.31	17.74	20.93	24.36	23.16	19.55	29.6	31.14	39.33	37.5	35.66	35.4	36.63	57.14	35.16	33.98	32.42	34.38	18.77
5HT2A	24.81	24.32	24.23	23.55	21.51	19.29	21.18	19.84	21.48	21.97	22.73	23.48	20.61	19.85	22.09	21.26	23.62	23.99	22.51	21.11	21.53	18.47	25.55	27.74	18.5	20.72	23.64	20.22	23.42	18.98	62.14	34.91	38.66	35.77	35.9	32	28.1	32.6	27.41	25.87	27.8	31.4	19.54
5HT2B	26.74	27.41	26.25	27.8	23.62	20.47	21.18	20.16	23.74	23.4	23.77	20.75	20.99	19.85	22.22	21.01	22.26	22.99	21.61	21.32	22.74	19.64	26.18	27.64	21.83	21.69	22.01	20.73	22.43	19.91	100	34.3	36.16	32	32.97	32.73	29.09	31.16	29.84	29.84	29.84	30.62	16.79
5HT2C	25.87	25.38	25.29	24.62	23.41	20.47	22.75	21.01	21.79	23.4	24.91	23.4	22.05	23.19	20.85	21.18	24.07	25.19	20.74	21.77	21.25	19.28	27.01	27.47	18.82	21.43	21.62	20.66	24.63	20.74	61.65	35.27	39.55	36.26	33.09	34.67	30.77	33.7	28.46	27.69	28.85	30.5	20.99
5HT4R	25.29	28.74	27.55	27.48	21.96	24.71	23.64	22.52	25.38	26.34	27.07	23.28	19.39	19.62	18.99	22.35	29.41	30.4	22.58	19.86	19.78	20.8	30.28	33.57	22.44	18.25	21.54	26.28	25.83	24.89	32.85	33.7	36.9	37.82	40	39.02	34.55	38.63	31.8	30.65	33.33	33.46	20
5HT5A	24.23	22.39	20.38	22.69	17.72	17.72	18.43	18.29	15.62	23.46	22.73	20.38	17.24	17.62	18.15	19.53	19.56	19.49	22.99	19.56	20.94	21.43	23.72	25.45	22.22	22.18	17.05	22.55	22.79	24.2	28.32	31.16	37.41	33.45	32.85	29.71	31.62	40.29	28.79	29.96	29.96	30.74	16.86
5HT6R	22.18	22.87	22.78	22.09	22.4	21.91	19.05	19.61	21.57	20.45	23.19	19.77	20.54	18.15	20.78	20.4	23.05	21.93	25	21.48	22.63	19.18	26.18	26.84	22.22	22.4	18.04	24.07	22.85	18.87	31.88	33.94	33.33	32.6	38.32	32.25	32.48	32.59	28.74	30.65	31.03	30.77	18.53
5HT7R	24.81	25.57	23.57	24.33	21.01	24.12	20.16	18.46	18.53	28.14	23.97	23.57	20.91	22.81	20.31	23.55	24.54	25.55	23.19	22.63	22.22	23.56	28.26	32.13	20.78	20.4	18.77	23.02	21.9	25	30.47	35.02	39.48	38.41	39.42	35.87	33.33	43.01	35.91	36.68	35.14	35.52	18.18
alpha1AR	27.8	26.64	27.38	28.85	28.06	28.79	23.35	22.99	22.78	24.81	23.11	26.05	24.14	21.29	23.35	20.78	26.02	25.19	22.99	23.27	23.27	22.83	29.09	30.43	23.32	24	21.92	26.64	24.44	22.58	30.8	36.82	39.93	39.13	40.21	37.46	35.06	38.18	33.46	33.08	32.69	29.73	19.08
alpha1BR	28.29	28.57	28.19	29.73	25.4	25.69	22.05	22.18	24.22	23.66	25.38	26.05	24.62	20.31	23.74	20.95	27.72	26.87	25.09	23.62	22.34	23.29	27.27	32.72	21.74	23.2	21.79	26.2	26.77	25.7	33.94	37.32	42.07	39.93	42.55	38.27	33.09	38.6	32.69	32.31	31.54	31.66	19.31
alpha1DR	31.27	26.64	28.9	27.31	26.48	23.74	21.4	21.46	24.71	24.81	23.86	26.82	22.61	19.39	23.74	18.43	28.09	25.75	24.63	22.55	24.18	23.74	28	29.93	23.32	22.4	19.62	25.37	23.05	23.96	29.93	38.77	39.85	41.24	40.5	38.43	33.46	38.1	29.62	31.54	34.23	31.27	17.94
alpha2AR	28.02	27.91	27.13	29.46	22.71	20.24	23.32	21.09	24.71	26.82	23.19	20.38	20.61	20.23	20.23	20.39	25.56	25.09	24.09	19.63	21.53	19.46	27.08	30.07	21.43	19.52	20.46	22.43	21.11	21.2	33.09	38.77	43.91	43.43	37.99	35.23	31.11	39.93	30.12	28.57	32.05	31.78	18.77
alpha2BR	25.77	28.74	28.35	29.89	21.26	21.96	22.27	22.39	24.81	26.89	22.18	22.81	21.67	17.87	20.38	20.7	26.94	24.63	21.45	20.51	21.66	20.27	27.44	30.8	20.78	19.05	17.69	25.82	20.96	20.74	34.89	40.14	40.88	41.52	35.97	33.57	30.04	36.59	26.72	27.86	31.3	28.74	19.08
alpha2CR	26.25	30	27.31	28.46	21.34	21.26	24.71	22.87	23.35	25.86	22.64	20.99	21.37	19.08	19.69	20	28.15	27.68	22.26	20.22	23.19	20.36	26.81	28.73	20.87	18.33	18.92	22.26	21.4	21.3	33.57	40.65	42.49	42.03	35.38	33.69	31.99	38.18	29.89	30.27	33.72	30.77	19.92
beta1AR	25.58	24.03	23.95	23.55	23.81	23.74	23.05	21.84	23.26	26.82	23.19	24.23	21.76	18.94	19.92	22.83	28.36	29.37	21.53	21.82	20.8	19.91	30.8	32.73	23.41	20.32	19.69	25.37	23.7	22.94	32.97	35.77	36.3	37	100	64.48	31.48	40.59	28.85	29.23	30.77	32.05	20.61
beta2AR	25.19	26.36	26.62	26.64	22.62	24.12	23.83	22.99	21.71	25.67	27.38	22.69	23.28	19.32	20.31	20.47	25.56	27.31	21.74	22.1	21.45	20.81	29.5	32.5	22.22	17.93	23.17	22.71	22.59	22.48	32.73	30.07	35.66	34.18	64.48	100	31.62	37.36	29.23	29.62	32.31	32.82	19.08
beta3AR	25.67	24.52	24.91	25.19	22.75	19.31	23.94	26.24	21.46	28.41	23.68	22.81	19.7	16.92	18.6	19.53	25.37	25.27	19.71	23.02	21.22	19.91	30.6	32.62	25.88	23.72	19.16	24.73	21.4	22.94	32.13	37.77	35.77	38.27	61.25	54.3	32.12	36.36	28.9	30.42	34.22	29.77	17.36
D1R	25.1	27.38	23.88	25.86	25.39	24.43	22.31	19.62	22.73	27.72	22.96	22.1	21.35	20.97	18.94	22.61	26.98	27.6	21.2	21.83	23.51	20.18	28.17	28.42	23.55	18.5	25	23.38	23.81	19.73	33.69	34.17	39.56	36.82	42.36	40	31.52	41.88	33.08	32.7	32.32	33.97	18.82
D2R	25.98	25.49	25.49	27.45	24.9	23.51	22.22	21.96	23.32	25.1	23.37	24.81	23.26	20.46	22.27	21.83	28.41	29.43	24.81	22.85	27.14	24.77	32.09	33.33	22.31	18.78	21.48	23.51	26.04	28.23	36.16	47.81	100	72.46	36.3	35.66	35.23	41.73	32.41	33.99	33.6	34.52	19.53
D3R	25.38	24.62	26.44	26.44	24.8	24.02	21.96	21.32	23.26	26.72	22.35	23.37	23.19	20.15	21.07	21.01	27.07	28.09	24.81	20.74	25.74	26.03	29.04	29.2	22.75	20.08	20.77	20.96	25	28.37	32	48.92	72.46	100	37	34.18	33.09	38.75	33.33	34.12	35.29	31.5	21.76
D4R	30.12	26.54	29.23	28.46	26.88	19.69	21.57	17.83	23.35	26.24	20.75	24.05	21.54	20	20	20	26.59	25.75	20.3	22.06	24.82	23.08	29.09	30.77	23.92	25.7	18.22	19.41	19.63	22.22	34.3	100	47.81	48.92	35.77	30.07	31.48	31.99	30.23	31.4	34.11	29.57	21.84
D5R	26.89	25.66	26.02	25.38	22.99	22.01	19.55	19.56	22.96	25.64	23.19	23.08	21.72	20.97	17.78	21.35	24.47	25.44	21.68	21.38	23.61	20.61	27.18	27.84	22.73	19.62	22.99	24.82	21.98	21.08	32.26	35.61	40.29	37.55	42.36	38.28	30.07	40.07	33.08	33.46	34.6	34.73	16.61
H1R	25.78	29.69	28.52	29.3	23.29	23.2	24	22.83	20.16	22.52	26.05	24.14	21.71	21.32	19.22	19.52	25.65	23.42	20.59	21.56	18.98	18.75	30.07	31.99	22.58	19.03	18.04	26.67	23.6	21.3	29.09	31.48	35.23	33.09	31.48	31.62	100	37.73	37.74	38.13	38.52	37.5	20.38
H2R	25.95	27.86	28.95	26.24	26.17	24.23	22.39	23.57	23.37	25.38	23.22	25.48	21.21	16.17	20.54	21.48	26.84	27.47	20.86	22.83	22.74	20.63	29.54	29.89	21.96	18.9	21.15	26.28	22.22	24.09	29.35	34.06	37.64	34.55	39.72	35.21	34.31	36.33	32.06	32.06	32.82	32.57	21.59
H3R	24.42	24.71	27.41	26.64	25.69	21.65	24.02	23.26	25.29	25.56	23.48	25	20.91	16.29	20.62	23.62	24.35	23.25	23.53	21.19	20.96	19.28	26.45	26.18	25.3	16.6	19.84	22.3	21.8	20.93	25.45	31.25	30.6	31.99	31.02	26.45	30.66	29.41	33.33	34.88	38.37	36.19	20
H4R	22.78	24.23	23.85	21.54	23.14	23.05	24.12	25.38	25.19	23.11	22.18	25.1	20.91	20.91	21.92	19.38	21.69	21.25	21.09	20.96	20.58	17.57	24.91	24.19	22.83	18	21.07	23.72	20.3	23.61	23.83	23.19	28.94	28	25.55	24.28	27.94	28	28.19	28.19	28.96	30.89	17.94
M1R	23.14	25	24.22	23.83	24.7	21.69	23.6	22.71	22.8	27.84	25.29	21.57	19.44	21.74	21.2	19.51	24.32	24.62	20.83	22.52	23.05	20.8	28.24	29.57	23.2	18.29	19.68	25.68	26.17	22.02	29.84	34.11	33.6	35.29	30.77	32.31	38.52	35.8	62.46	64.91	100	75.7	18.97
M2R	26.67	28.91	27.34	28.12	25.51	22.09	21.6	21.51	22.4	25.1	28.4	22.35	22.62	20.16	21.6	21.95	23.55	25	20.08	22.52	22.3	23.01	25.95	27.24	25.6	19.11	20.48	22.18	24.61	22.02	29.84	30.23	32.41	33.33	28.85	29.23	37.74	35.41	100	81.12	62.46	66.9	18.58
M3R	23.23	25.1	25.49	24.71	24.29	23.39	24	22.4	24.1	24.41	30.08	22.44	22.31	21.83	22.09	20.73	23.94	25.77	21.59	22.22	21.93	21.78	27.2	30.86	24.5	17.55	21.77	26.95	26.27	21.66	30.62	29.57	34.52	31.5	32.05	32.82	37.5	36.58	66.9	67.61	75.7	100	19.05
M4R	27.06	29.69	28.52	28.52	25.1	22.89	23.2	22.31	23.2	25.88	28.4	21.96	21.03	20.55	22	20.73	23.55	22.69	19.32	22.52	24.54	20.35	27.1	27.63	26.4	19.51	19.68	22.96	23.44	22.94	29.84	31.4	33.99	34.12	29.23	29.62	38.13	36.19	81.12	100	64.91	67.61	18.97
